id;spiegazione
1;A man is trying to move forward with his life.
2;A lot of themes still apply today.
3;Marty's voluble speech betrays his nervousness, and his pleasure.
4;An elevated train runs in the background.
5;[There is humor in the conversations.]
6;There is more humor in their conversations.
7;The ending is open ended, as if to provide for a sequel or a TV series.
8;winning performance is a slice of cinema heaven.
9;This is such a sweet film, I could watch this movie all day long.
10;I love it and so will you, I highly recommend this classic romantic drama.
11;She's played by Betsy Blair, who had a fascinating biography in her own right as a black.
12;this movie won me over through its understatement.
13;The leading characters show their essential sweetness and humanity and the minor characters are also well.
14;this film was a giant of sleeper films.
15;it is definitely one of the greats of all motion picture history.
16;the sound was good too.
17;but inspite of that, i still give it 5 stars.
18;I like the main actor and I like the female actress so much too.
19;I loved this movie from a time that seemed less complicated.
20;It's really good storytelling and has wonderful acting.
21;Perhaps it is an idealized glimpse of another era, but I thoroughly enjoyed it.
22;This one emotionally draws in the viewer.
23;a genius of an actor who pulls off the character of Marty perfectly.
24;it is however, well worth the viewing.
25;Marty is story full of heart to which all viewers can relate to on some level.
26;Marty is such a heart warming movie.
27;Marty was a good movie.
28;The movie had a good plot of an Italian.
29;Overall, a good movie to watch.
30;Now my mouth is watering to see it.
31;`Marty' was, for me, a completely unexpected surprise of a film.
32;`Marty' is a treasure, and Borgnine's performance is just wonderful.
33;She has just been ditched by her blind date and is emotionally crushed, but when she meets Marty her night turns around and the two of them hit it off really well.
34;They talk and talk and talk and make plans to meet up again the next night.
35;could this be everything Marty has been waiting for?The great thing about `Marty' is that it remains feeling light and airy while giving unexpected depth to the central theme of loneliness, making some very profound observations.
36;The intersecting storyline concerning Marty's mother and her initial determination to marry off Marty and then her resolve to keep him single is beautifully fleshed out through a few key sequences and gives `Marty' a depth I didn't expect.
37;the cast is all equipped with the goods and delivers a beautifully paced film thanks to their wonderful performances.
38;"`Marty' hit me in all the right places
39;This is how good this movie really is.
40;I'm a classic cinema buff and """"Marty"""" is a must."""
41;esteem, a pushy Italian Mamma and a heart of gold.
42;The true mark of a masterpiece is when the viewer is inmersed in the story and emotionally connects with the characters on screen.
43;I have always loved this movie.
44;She meet him this year at a convention and got his autograph picture for me.
45;This movie classic, is a fabulous movie.
46;here is this sensitive, kind.
47;Nobody really wants him to be happy and have his own life, especially his mother, and his aunt.
48;"These two actors play their character parts perfectly, just like real ""battle."
49;It is hilarious and entertaining and very true to life.
50;I love watching this movie over and over.
51;A pretty good story line and Earnest Borgnine is a great actor.
52;If you have never seen Marty, you are missing one of the great movies of the '50s era.
53;Serious, funny, poignant and real.
54;I would have thought that winning Best Picture for the year would be a good start!Shame on whoever made this decision!The movie INTACT receives a full five stars and an exclamation point.
55;More often than not, I laughed so hard because I found everything about it to be uproariously hilarious.
56;What's sad and surprising about the theme is that it's absolutely alive today in the real world.
57;One interesting aspect is how people who develop so many unfounded opinions about something or somebody even though they hardly know it or the person.
58;"It's true with them that there is a saying, ""First impressions are everything."""
59;Anyhow, the film is surprisingly realistic and germane.
60;That's why I laughed so hard during Marty.
