id;spiegazione
1;Man on Fire is one of Denzels greatest performances.
2;The story is excellent and is complimented by a great cast of actors.
3;this definately recieves my seal of approval for a solid viewing experience.
4;Watch it like 5 times or so!
5;This movie is a great movie overall.
6;My life for my friends life so that they can live.
7;I was at the edge my seat.
8;I like this movie and its a must OWN!!!!
9;Worth it and very, very interesting and powerfull !
10;One of the best movies ever made in history.
11;I think this one is the best DENZEL WASHINGTON flick he has ever done.
12;But Denzel Washington carries her through the movie, with his talent and appeal.
13;Beyond that it has some funny moments and it's gorey moments, but it is definately worth seeing just for the rectal bomb.
14;If you're looking for a movie that brings you well developed characters and bad guys that need to be taught a lesson then this is the movie for you.
15;This film takes time to tell the main story, which is about a man who has lost his way but finds the will to live in being the bodyguard for a precocious little girl.
16;"The ""triumph"" (seems overly dramatic to use that word) of our hero over his drinking problem and lack of motivation for life is told well and the relationship between the two main characters is developed carefully and believably."
17;The supporting characters are also fun, interesting, and quirky (Christopher Walken and Giancarlo Giannini especially).
18;It's not going to change your life or anything of the sort but it's entertaining and it doesn't leave you hanging in the end (i. e. closure).
19;His art is death, and he's about to paint his masterpiece .
20;I truly enjoyed this movie, it was full of action from beginning to the end.
21;It was very moving to see how easily someone can love a child.
22;I recommend you watch this movie.
23;This movie is very dark, but very good.
24;This is a great story about a man that is lost and finds a reason to live again.
25;Man On Fire is one of the better action and revenge films to come along in a while.
26;His friend sets him up with a job as a bodyguard for a little girl for a semi.
27;Denzel Washinghton delivers another amazing performance as a broken down drunk, who slowly rediscovers happiness, only to have it taken away.
28;Dakota Fanning is also amazing, as the bright little girl who shows Denzel life can still be good.
29;The direction by Tony Scott is very stylish and effective, as it is gritty looking, much like the feel of the film.
30;This is one of the better action thrillers you will see all year.
31;Man On Fire truly does sizzle!
32;Oh man what a wonderful movie!!
33;Denzel Washington certainly made his bones here as an action .
34;adventure star thus proving that he is one of the most versatile actors in todays market.
35;Dakota Fanning is a gifted child actress and makes Pita come alive on the screen.
36;this is good film with powerful performaces all around.
37;It was good to Rachel Ticotin ( Total Recal ) again, and the Mexican cast is all magnificent.
38;He is a credible action star and I hope to see more of him in these types of roles.
39;Without a doubt one of the best movies Denzel has ever made!
40;This was sent me to me in a timely manner and in excellent condition.
41;I would certainly recommend this seller again.
42;Any movie I've seen with Denzel Washington has been good but this one was by far the best one yet!
43;Better than the original movie made in the 1980's.
44;Denzel was his usual excellent self.
45;Dakota Fanning was fantastic as the little girl.
46;You ask her to tell you and you tell me the name of her bear!
47;A life for a life.
48;This is one of my favorite Denzel movies.
49;He is always good but in this I think he is exceptional.
50;Denzel makes this character real.
51;"A movie that takes the Love and Rage of a man to shows even people like you and me, what we ""could"" be capable of doing."
52;a movie that takes the things we love and lets us decide how far we will be willing to go to get them back.
53;watch it and love it without remorse.
54;Every time it is one TV and we came across it, we would have to watch it until the end.
55;i especially wanted to watch the end carefully, because it is the emotional lynchpin of the film.
56;Even while watching the performances, not the story, I still got caught up in the emotional intensity of those two creating their relationship.
57;only one actress has made me genuinely laugh, smile, and cry during the same movie, and that actress is Dakota Fanning.
58;"I'm not some ""fan boy"" as people like to say
59;I would be a happy person if she acted for the rest of her life.
60;The movie is damn good, and so are Denzel and Dakota.
61;Denzel and Dakota will hopefully do more movies together, the on screen chemistry really worked here.
62;I really enjoyed this movie and felt it was much much more than just a basic revenge film.
63;dakota plays a young rich girl longing to be loved for who she is and the relationship between her and Denzel (her bodyguard) grows into a friendship.
64;there are some violent scenes in this movie, but there is a lot of redemption and a real love story, so I still recommend it to those that often pass on these kinds of movies.
65;Both my teenagers enjoyed the flick, and although I hesitate to call it a family movie, there is much here to be appreciated by older teens through adults.
66;i give it a strong recommendation and think it's one worth having in the collection.
67;The first half of this movie is an absolutely beautiful love story involving an innocent young girl and a hardened alcoholic.
68;Watching his gruff exterior melt in the face of her relentless outpouring of acceptance and uncomplicated love was wonderful to behold.
69;The brutality that evolves is very hard to watch and stands in stark contrast to the lovely tale of love conquering all in the first half of the movie.
70;My friend recommended this film as one of the most spiritual movies she has ever seen.
71;Denzel Washington gives a strong performance as a broken Christ.
72;Denzel performance is fantastic and his actions are hardcore.
73;He allows you to feel his emotions as he takes you through his lows and highs as the story unfolds.
74;The ending is surprising, but fitting, as he discovers something so shocking that pushes him even harder to bring this to closure.
75;Note that the theatrical version is excellent, but the collector's edition shows you even more behind the story line, i. e. as some uncut scenes and many deleted scenes, which is even more intriguing.
76;Washington seems to always have some message in film without shouting about it.
77;This was no disappointment as the anti.
78;I liked this movie a lot, because it has a lot of action, as well as delves into what is happening in Mexico.
79;Mr. Washington gave one of his best performances.
80;if you want an engaging plot.
81;If you're trying to kill a couple hours without much thought process give this action movie a shot.
82;good script, great acting, and lots of action to keep your surround sound speakers thumping, especially the subwoofer, as things go """"boom"""" in some scenes."""
83;The ending was somewhat surprising, which is always a plus.
84;Very realistic and thankfully unlike all the other action films where a guy gets shot in the thigh and stabbed in the shoulder, but kickboxes his way through the rest of the movie.
85;there is plenty to love about this film.
86;There's plenty of fine acting, a good story and thrilling action.
87;"keeping in mind all DW's previous roles, which are all very highb row, this film and ""OOT"" make the very well."
88;Remember, the earlier film, Out Of Time, is another good choice.
89;Great movie by and by.
90;It's been done and better.
91;Heart racing and very real.
92;the twists and turns keep you guessing.
