id;spiegazione
1;This is a great movie, it shows the struggles that a lot of blue colar families must endurefighting for what the believe in.
2;In truely is ispiring to see how perseverance and following your heart pays off.
3;This is a great movie full of important leasons.
4;This movie is absolutly wonderful!
5;Every seen was just very realistic.
6;When you watch it, it feels as if all the energy from the movie comes into you.
7;Watch this movie because it might just change you.
8;Excellent story line that was very well cast.
9;I enjoyed it so much I bought this copy as a gift.
10;I spent 6 years in China, and every time an American film was heartwarming my students tripped all over themselves falling in love with it, while I fought the powerful urge to retch.
11;with that out of the way, this heartwarming tale about a strained father.
12;son relationship filled with you don't understand me is genuinely clever, witty, moving, brilliantly written and acted, and just damn funny in a number of places.
13;But no, this movie is very cool.
14;So does everyone else in this fine, fine film.
15;In a nutshell, Billy Elliot is an inspirational film about a talented boy that wants to be a professional ballerina set amidst a miners' strike during Thatcher's era in Northern England.
16;Two actors are worthy of special mention: Gary Lewis plays Billy's father, Jackie Elliot, with such an incredible range of seething emotions that he never once falls into an archetypal role or stereotype.
17;This is one of my favorite movies.
18;Jamie Bell does a fabulous job.
19;This is one of the most delightful, uplifting movies made in an era when most contain extraneous violence and/or impossible special effects supposedly accomplished by human beings.
20;This movie is really great.
21;this is a movie to see over and over again.
22;billy Elliot, a young talented boy, has the love in ballet, although couldn't obtain his father's support but he still keeps the faith.
23;We have a goal, but confront with obstacles, and we give it up.
24;I really learned a lot from Billy Elliot.
25;in addition, Billy's father although seems to be a callous man, but in fact we can eventually know that he loves his little boy so deeply, that he's willing to do any sacrifice to give Billy the opportunity.
26;and the teacher, Julie Walters, does her job so well, keen to give Billy a good training, meanwhile can also listen to Billy's heart, give Billy not only ballet skills, but also a tender and warm care.
27;i was really moved by this hardly seen very nice movie, and I know you must will also love it.
28;Its music is also a masterpiece, I even bought its OST, and listen to it over and over again.
29;This movie was a gift for a friend, and one of my favorite movies of all time.
30;This is a gritty, gripping tale of a boy growing up amid chaos and strife.
31;I'm sure other reviewers have other things to say, but this movie speaks to my heart, and I have no higher praise.
32;This is a film I watch over and over.
33;The historical setting and the original story made it completely real.
34;I liked the ending so much .
35;A touching story of a young, English boy who loves to dance.
36;Initially his father rejects this form of expression.
37;Then he has a change of heart and rallies to his son's defense.
38;The script is poignant, the acting is superb.
39;Icing on the cake is the cinematography and the sound track.
40;A story about a boy who finds his dream in an unexpected turn.
41;And the delivery of Jamie Bell's (Billy Elliot) character and ingenious performance utterly depicted a child's vulnerability and rising amongst chaotic fragments in this world.
42;I think this is the best dance related films ever made and should inspire all young people regardless what their dreams might be.
43;Jamie Bell is outstanding as a coal miner's son who wants to take up ballet instead of the traditional hard core sports required in a blue collar town.
44;This is one of my favorite movies.
45;Its kinda a comedy, kind of a drama.
46;I saw the musical version in London, not as good as the movie!
47;I enjoyed the story a great deal.
48;an emotional and powerful journey that is both familiar and haunting to humankind.
49;Only the light of faith, love and honesty can guide us through the darkness.
50;It is one of those movies that has it all.
51;good Hollywood delivery (i. e., 'The Blind Side'.
52;the 4 star sibling of this 5 star classic.
53;Billy Elliot is definitely one of my favorite movies.
54;
55;Billy Elliot has it's funny, awkward, and uncomfortable moments, but overall it is absolutely heart.
56;warming tale about a young man and the family dynamics that play into him chasing his dreams.
57;Billy Elliot is a wonderful movie about a boy (Jamie Bell)from a working.
58;and likes it (much to his father's dismay).
59;There's a lot of humor and drama in this movie.
60;I loved the soundtrack of T. rex, The Clash and The Jam.
61;The quirky relationships between Billy and everyone else in the cast is something to watch.
62;If you love cheering for the underdog, definitely check it out.
63;Lots of people have reviewed this movie so I'll just say that I was pleasantly surprised by this movie.
64;I literally laughed out loud several times and there were a few tear jerking moments as well.
65;Great story of a young boy's struggle to break free from his harsh environment through dance.
66;I hope we will see more of him.
67;A very moving and touching film.
68;This is a charming movie about resiliency and overcoming the pressure to conform to standard gender norms in order to achieve your dreams.
69;Nobody is a bad guy here and everybody is treated as complex human beings.
70;I was really touched of the sensitive handling of friend who already knows who he is and is not afraid show this side of himself with Billy.
71;Jamie Bell and Julie Walters were terrific.
72;The movie came in good time and good shape and I love it!
73;We really enjoyed the movie.
74;Apart from this one quibble, the film is very well made, capturing the feel of the labor disputes of the 80's in the UK.
75;Billy Elliot is truly one of the year 2000's best films.
76;It is also one, however, that the Oscars overlooked for Best Picture.
77;Billy Elliot was a pure enjoyment and enlightened film.
78;newcomer Jamie Bell plays the starring role of Billy Elliot, and he performes it very well.
79;Absolutely no flaws with Jamie Bell's performance!
80;And Julie Walters, who plays the strict but fair, ballet teacher, is also excellent.
81;As well as the rest of the cast.
82;the real enchantment to this film is the choreography, which is absolutely spectacular!
83;This film is very cleaver and original, and even hilarious at some parts.
84;the plot is a little thin and pretty predictable, but the kid is very appealing and the story is well told.
85;He's a likeable kid, and you feel good for him when he gets admitted to the school.
86;First of all I want to say that the story is very good.
87;But also a good film because you can see the history of the mine workers.
88;also I want to say that the conflict between Billy's father and Billy is a normal situation in a family.
89;It's funny for the whole family.
90;A tough but sympathetic ballet teacher helps him achieve enough finesse to audition at the Royal Ballet in London, but he must also overcome his father's and his brother's objections.
91;jamie Bell, who plays Billy, is delighful and a very good dancer as well.
92;His infrequently seen smile transforms his entire face.
93;Billy Elliot encompasses the range of human emotions, a significant period in modern history, cultural accuracy, music, ballet and a triumphant ending.
94;The actors are extraordinary, especially the 11 year old lead actor.
95;I saw Billy Elliot on television recently and was so moved by it that I ordered it on Amazon.
96;Of everyone I know who has seen this film, they all absolutely loved it.
97;i popped it in,watched it,and fell in love with it.
98;it's a lovely film that you shouldn't miss out on seeing.
99;jerker, brilliant performances all round.
100;This film is absolutely wonderful.
101;I enjoyed every minute and every aspect of it, from the performances to the depressing scenery and terraced housing of Billy's town.
102;He grabs on to his talent and lets him take him amazing places.You know you're watching a true British film when 1) There's a miners' strink involved and 2) when you have to put on the subtitles to understand you're own language because the northern accents are so thick that you can't understand them as well without them.
103;I truly love this movie and I hope that you'll give it a chance.
104;He found the courage to push everyone aside and go the distance.
105;I thought that Center Stage was a good movie filled with dancing and such, but Billy Elliot is better in my opinion because it shows that guys can have a passion to dance even more that girls.
106;this is a fine movie.
107;But that's not the point: It is still a good film if it can move you.
108;The ending was absolutely stunning and beautiful.
109;It is always SO refreshing to get the opportunity to watch a British film when you are overfed with all this Hollywood stuff which is basicly always the same.
110;Especially the British humour is a LOT more original (and in fact FUNNY!)
111;one genre the Brits are excellent in is socialrealistic films.
112;It's an 11 year old boy, living in a lower class family without a mother, in a mining town.
113;He's got this enormous natural talent for dancing .
114;even though it's a good film, with a good story and excellent acting, Billy Elliot doesn't reach the level of e. g.
115;still, it's really worth a go!
116;When you need a pick me up BILLY really delivers!
117;Beautiful and moving performances by all involved.
118;The little kid (Jamie Bell) in the lead is absolutely stunning!
119;The dance scene on the rooftop with his brother watching is unforgetable.
120;Luckily a dance teacher notices his gift and helps him move forward despite it all.
121;Uplifting movie magic with a terrific soundtrack to tap your feet by!By the way, forget about the R rating moms and dads.
122;Kids should see such a delightful film showing a little boy following his dreams.
123;Watch along to explain some of the language.
124;Movie came pkgd great and in good shape.
125;Was really nice to watch Billy again as I have always loved this movie since it came out.
126;The ending of this movie is just the best!
127;This was my wife's favorite movie, and I totally expected a pseudo.
128;This movie I ordered online and got it the day it was out.
129;I very much enjoyed this movie.
130;With just enough funny monments salted into the mixture to take the sting out of the overall heavyness of the place and time in which Billy lives.
131;You will walk out of this movie feeling great!
132;It is one of those Anything is possible type films that is well worth your time
133;I was very impressed by it.
134;We watch this film in class, and it has a great message.
135;It is a good film to discuss gender stereotypes and social norms.
136;And the students seem to enjoy it.
137;It is a very heart warming story about the true drive within each of us, the wisdom of others to see it, and the love of a father and son to bring change to themselves and others
138;super cool movietrue events in the moviethe acting fantastic and billy was absolutely the very best of the best
139;He makes this decision while his family is out on strike, which puts even more pressure on the situation.
140;Although Billy himself is not gay, one of his friends in the town is.
141;Julie Walters does a nice job as the local ballet teacher who helps Billy to audition for the Royal Ballet.
142;Very nicely done movie but I can't say that huge new artistic ground was covered here.
143;We've seen many movies with similar plots and themes done equally as well.
144;Compelling story, good acting, excellent filming.
145;Billy's father
146;This is a feel good story, but I thought it was done in a believable way.
147;After all the wonderful things I heard about this movie, I was really excited to see it.
148;good movie, but I don't think it's deserving of all the acclaim that it's gotten.
149;It is a very well crafted piece of art.
150;the film is about the human spirit and the motivations to excel and to experience life fully.
151;Billy is a young boy who becomes entranced with dance, an art form that allows him to express his emotions and experience a deeper connection with himself.
152;Billy's mother has died and this boy interested in dance must survive in a highly tense highly aggressive home and neighborhood.
153;Jamie Bell plays the role to perfection and deserves incredible credit for being able to carry off this lead role with such fine acting skills and ability to become the character Billy Elliot before our eyes.
154;the film is also about his dance teacher and mentor, played perfectly by the wonderful actress Julie Walters.
155;She is the perfect mentor, pressing the student when he needs to be pressed but recognizing that for every step she takes, he must also make a step.
156;Walters is an incredible actress, being able to be vulnerable and controlled at the same time.
157;She recognizes that the role she has taken on in regard to Billy's budding talent is that of protector and teacher and that at some point he will move beyond her if her work is done.
158;Walters embodies and channels this aspect of the mentor perfectly.
159;gary Lewis is superb as Jackie Elliot, Billy's father.
160;excellent in every way, this tale is about the growth of the human spirit but thoughtfully explores the roles of those who facilitate that growth.
161;I just saw this on the OWN channel and it was so good.
162;the story is sweet and done in the british way and it held my interest.
163;I won't spoil it for anyone but it was beautifully done!!!!
164;Truly touching and mesmerizing, this film extends past boundaries.
165;oriented film due to language, it offers a very in.
166;Performances are touching and magical and the script couldn't be better.
167;I had a little trouble understanding the accents (Irish I believe) but was able to follow along.
168;good movie I watched it quite a few times and it is such a good movie and well done sweet
169;I was please with the service.
170;it is the best movie i have ever seen.
171;the acting was sensational i have never seen a starbeing able to change his expressions so quickly.
172;it was a brilliant performance by jamie bell.
173;the movie also deserves the oscar for best film.
174;if i never get anthing else in my life i will be so happy when i get it.
175;need i say more the talent of this young man is enerimous and i am sure we will see a lot more of him yours charles
176;Beginning with an exuberant title sequence, this charming, offbeat, coming.
177;old becomes enthralled by the girls' dancing class, led by a chain.
178;He loves watching Fred Astaire in old movies and is instantly drawn towards the ballet class, but when his macho father and rabble.
179;stompin' I Want to Boogie sequence.
180;what makes this heartfelt English import such a gem is the collaboration of screenwriter Lee Hall, cinematographer Brian Tufano ( Trainspotting ) and former stage director Stephen Daldry ( An Inspector Calls ), who .
181;create eccentric, lovable characters and evocative imagery.
182;One haunting sequences focuses on a little neighborhood girl dragging a stick along a brick wall, which dissolves into a phalanx of plastic police shields.
183;While some of the authentic, heavily accented dialogue may be indecipherable to some, the musical soundtrack, combining classical and pop, is terrific.
184;tender, and Julie Walters ( Educating Rita ) scores as Billy's crusty yet compassionate teacher.
185;Jamie Draven and Stuart Wells lend strong support.
186;On the `Lund Movie Scale' of 1 to 10, Billy Elliot is an exhilarating 9.
187;Combining comedy and poignancy, it's all about being able to express yourself.
188;directed by Stephen Daldry and Written by Lee Rich brings a well made Dramatic Comedy in this Coming of Age film.
189;Jamie Bell brings a Expectional Performance in this and also Julie Walters shines as Billy`s Chain Smoking Mentor.
190;This is a Clever, Often Touching film.
191;Jamie Bell's performance as Billy Elliot is pure magic.
192;As the coal miners son who wants to dance, who discovers ballet, and has to overcome the prejudices of his father and brother, both embittered and disillusioned by the violence of the coal miners strike in the UK in the early 80's, this will go down as one of the great performances, in one of the great films, on the theme of the little guy triumphing over adversity to live his dream.
193;There were tears in my eyes almost from the opening, as we are transported on this journey of hope and courage in the face of adversity told from the perspective of a little boy.
194;It tells the story of the extraordinary within a world and life of great simplicity.
195;and there is the magic!
196;Jamie Bell will be nominated for the Oscar.
197;but this performance is a gift to us all.
198;I cried like a little girl!
199;It is a wonderful story about a boy who does everything to achieve his dream of being a ballet dancer.
200;Kids at the age of eight could see this movie if you don't mind them hearing the F word every two minutes.
201;this movie is an excellent example of people going after their dreams.
202;I might as well come right out and say it.
203;I think it's cute and sweet and it made me feel happy when I left the theatre.
204;it is a very powerful movie because it gives out this inspiration, motivation, little push to change your life if you are caught up with the situation/circumstances.
205;it was so close though,,).
206;This movie shows a burning desire of a boy, (hold it right there!)
207;It speaks to that sense of dreaming in all of us.
208;Very well done and Billy Elliot will live forever in many hearts.
209;Julie Walters is very engaging and moved the emotion forward.
210;always looked forward to seeing it on tv now I can see it anytime.
211;Lovely film with a fantastic story,, but one question.
212;This is certainly the best movie I have ever seen !!
213;I came out of the cinema so happy, so complete.
214;I will always remember this film like a very good thing that happened in my life.
215;If you wants something, and are afraid of get it real, you MUST see it !!
216;Really a great movie, very refreshing compared to all the movies showing these days!
217;I have very much enjoyed this movie.
218;The story is the most heart.
219;warming and inspiring I have ever seen.
220;It's a film that manages to delight and inspire without treacly cliche and obvious sentimental drivel.
221;Creativity, individuality, art and personal drive must battle it out against tradition, family expectations, homophobia and economics.
222;This is one of the best movies I have ever seen.
