id;spiegazione
1;If you have seen neither, then I recommend viewing Before Sunset first.
2;I know this is out of sequence, but the actors have improved over time, and filmmaking craftsmanship is more natural.
3;The bottom line is that this film is all about its characters and the dialogue they share between eachother.
4;You immediately discover the anxiety and connection still exists without a pause.
5;But I am definitely pleased with story.
6;Celine and Jessie definitely create magice in the space they occupy together.
7;Celine (Julie Delpy) still has the quirkiness, beauty, and naive honesty of nine years before as well as the non.
8;Though the ending is technically open, you can easily guess the rest.
9;julie Delpy is stunning as Celine and full of very human contradictions.
10;She is both graceful and awkward, idealistic and jaded, anti.
11;Many of the qualities we loved about her in Before Sunrise are still there
12;She laughs about all Parisians being unhappy, yet we get a sense that there is an allure in a romantic, intelligent brooding.
13;She takes action by working for an organization similar to Greenpeace removing her from the category of whiner.
14;It's not as romantic as Before Sunrise and has fewer distractions like the drunken poet and old fortune teller (except for the barbecue party in Celine's courtyard towards the end which was very enchanting), but still is full of Parisian charms and beautiful scenes.
15;they are constantly on the move, turning corners, the clock also moving forward as they try and go back.
16;Towards the end when they are walking up Celine's large and tall spiral stairway we get a sense of them rising above time, and they are both quiet as if aware that something big is about to happen.
17;like other reviewers have written, you can feel as though you are witnessing something real.
18;It's a place on screen that takes you to a beautiful place inside and leaves you aching for more, from them, and in your own life.
19;They seemed more passionate, more powerful, and especially more human.
20;From their first meeting in the bookstore until the finale in Celine's apartment, I was fully immersed in their conversation.
21;I wanted to know everything I could about both of them, and I did.
22;I loved hearing about Celine's passion for the environment, and Jesse's distraught marriage.
23;It brought these two characters out of the screen and into our lives.
24;what made this film work on such a higher level than the first were the actors.
25;This is probably Hawke's greatest performance in years.
26;His relaxed actions made us feel relaxed around him, yet quietly pushing for him to be closer to Celine.
27;He looked and felt like a man that has been dreaming of this encounter all his life, and it finally happened.
28;You could see the excitement in his eyes to see Delpy again.
29;It was more than just acting, he put so much heart into this performance that it was clearly displayed for all to see.
30;I loved Celine much more in the sequel because she kept us guessing.
31;finally, I would like to say that Linklater is growing with his films, and this was a crowning achievement for him.
32;He powerfully and delicately built a sequel that was for superior than the original.
33;He continued with a similar format as the first, but gave us stronger characters and another beautiful city.
34;The language in this film is intense.
35;Listen to the words that come from Ethan and Julie, they embody so much of our culture and our lives.
36;overall, this was a brilliant film.
37;This is one of the ultimate love stories that will remain on your minds far after the film is over.
38;The intimate final lines will continually reverberate as the best ever in a movie.
39;This was a huge step up from the original, and is one of the best films of the year.
40;It is a mature film that explores the power of love in a way that no other Hollywood film could.
41;Check out this film to hear social commentary of our lives, fall in love, and especially to see the beauty of Paris.
42;I tried to enjoy this movie, and kept hoping for it to get better.
43;Released in 1995, Richard Linklater's Before Sunrise became a Generation X romantic masterpiece.
44;at the end of the movie, they promise to meet up in Vienna six months later.
45;He has written a novel based on their time in Vienna, and although at first speechless, soon both have a lot to talk about.
46;The streetscapes are pretty, and they make the time go faster.
47;Building the suspense of the story.
48;Hawke has been the occasional success like Training Day.
49;Delpy's career has crashed and burned.
50;That regret is wasteful, and passion is always compromised by real life.
51;With seductive ease, they navigate the new terrain of each other's heart.
52;Feeling they're rhythmic beat, you hope for them time will stand still.
53;Very disappointed after seeing Before Sunrise and enjoying it so much.
54;I love the way Celine's outlook on life and things changes so much over the years they are apart, but meeting Jesse again in France I think really centers her back to her true self.
55;i love both of these movies and they are in my hall of fame.
56;It was like having a,good long stimulating conversation with a friend, and I actually felt better for having watched it.
57;but mostly just great dialogue.
58;Very short compared to first and last, but still great dialogue between Hawke and Delpy who are, in this one, as in the other two, fabulous in their roles.
59;It was a great movie about being young and in love.
60;Two people have a magical night together, and plan to meet again in six months time.
