1;"The movie ""Sylvia"" was a case of excellent actors doing the best possible with a ""not excellently paced script""."
2;She was genuine, and I've always been able to feel her words.
3;Sylvia is a powerful and haunting film by director Christine Jeffs.
4;Poet Sylvia Plath portrayed by the always great Gwyneth Paltrow struggles with suicides, depression, her insecuirty as a writer and a wife is all discussed here.
5;"Hughes exceles greatly as a poet while Plath struggles with poem after poem trying to find a ""theme."""
6;Paltrow is perfect as always in her fragile portrayal of Plath.
7;If you are a fan of Plath, i highly recommend watching this film, great cinematography, great acting, and great story.
8;Other supporting cast were excellent.
9;"whose tale Ted Hughes translated from the French inPh dre: A Play""Sylvia"" has stunning visuals and a gorgeous soundtrack by Gabriel Yared."
10;"He embodies Hughes' ferocity&machismo.
I:315;11;Paltrow's mother, Blythe Danner, is excellent as Plath's mother, Aurelia.
I:315;12;In one telling scene, Aurelia tells Hughes, """"She scared other men away."""
13;Plath comes across as more of an attention.
14;Craig's portrayal of Hughes is sympathetic.
15;There are hints of Hughes' infidelity.
16;Hughes is overwhelmed by Plath's self.
17;their relationship has aSkyfallThe family life of Hughes and Plath is largely passed over.
18;Its depiction of depression is harrowing, and Craig and Danner, as well as a short role from Michael Gambon, provide the strong performances.
19;and he is one of my favorites.
20;So she killed herself and, well, the director rolls the credits and nothing is ever satisfied inside the viewer's mind.
21;I'm confident in that it was enough for me to write an accurate review.
22;But the Paltrow effect will probably cause you to choose the first option.
23;At the magazine's gathering in the evening, Sylvia finds the man who reviewed her, and enchants him with her beauty.
24;And this marriage is what the whole film focuses on, which is for you to see.
25;the cinematography is dealt in a perfect fashion, I'm still amazed at how well they revive the old years in the movies.
26;The film Sylvia deals with the second half of poet Sylvia Plath's life, primarily on her marriage and motherhood and final great creative efforts.
27;It is tragic for within the wonderful creative person is growing depression, anxiety, and suspicion.
28;The film reminds us that the human condition is fragile despite the strength and brilliance of creativity and genius.
29;I must say that the film is extremely fair and even.
30;She looks back at the car before walking into the rough surf and sees the tiny innocent eyes of her children watching her every move.
31;What a struggle her life must have been and yet there were periods of great creativity as evidenced by her life's workGwyneth Paltrow does a great job and is perfectly matched by Daniel Craig as Ted Hughes.
32;The photography and art direction are a concert in gray and black, moody colors to match the brooding depression in Sylvia's mind.
33;I always find it so heartbreaking when such amazing poetry must emanate from a dark place.
34;Sylvia Plath was such a person and I can't help but wonder what incredible poetry she could have given us later in life.
35;Ariel may be the finest book of poems by a woman EVER, vivid, dark, trilling, grisly, and gorgeous.
36;That book, her last, is available in a lovely new hardbound with previous drafts and interesting information.
37;"Poets' lives are seldom impressive
I:315;38;See """"As Night Falls"""" for a much better example of a poet bio."""
39;"pic
I:315;40;Plath was explosive (artistically, as well as emotionally) well before she ever met Hughes.
I:315;41;but Gwenyth Paltrow did such a great job trying to capture a complex person that seeing it once would not hurt.
I:315;42;Some excellent camera work and unusual visual angles highlighted by skilled use of lighting marked this dreary, crawling film's real achievement.
I:315;43;In portraying an interior life as complex and as troubled as Sylvia Plath's, the visual medium of film faces enormous obstacles, but this biopic does its best to overcome them.
I:315;44;Gwyneth Paltrow is excellent as Plath, as she shows the poet's emotional transformation from just before her marriage, when she was hopeful, to the desolation leading to her suicide.
I:315;45;the acting is generally excellent, with Blythe Danner and Michael Gambon turning in skilled supporting performances.
I:315;46;Sylvia is a good, but not great, film.
I:315;47;Those who know a lot about Plath may be bothered by the omissions, but this is a moving, often compelling, introduction to Plath the woman.
I:315;48;Any Plath fanatic worth their salt would totally dismiss the movie because to this day it would be hard to cast an actress who could properly embody Plath and her uniqueness, the way she looked, the way she spoke, etc"
49;With this in mind, realize from the get.
50;The two passionately discuss poetry, unabashedly spout Shakespeare, and deliberately move forward into their lives together as married academics.
51;being comfortable with the itch and angst associated with the artistic voice and yet desiring the conventional track of domestic happiness and contentment does not necessarily align well.
52;Enjoying herself and life ventures into territory that is unknown when compared to the more complex desires of expressing a self she could not fully define.
53;paltrow shines with the translucent insouciance of someone with great promise that is unaware of her possibilities.
54;Clearly Hughes and his children were forever scarred.
55;"john Brownlow's screenplay focuses on Hughes' infidelity with Assia Wevill (who became Hughes second wife and ironically also committed suicide) and Plath's almost paranoid concern that Hughes' popularity as a poet and an attractive man with a ""come."
56;Melancholy music and dimly lit spaces create an ambiance of overwhelmingly ill.
57;Paltrow was lovely as usual and Craig most handsome, yet the aspect of her illness was short shrift for the manic phase, felt so sorry for the ignored children who provided no joy, and they were super cute!!
58;the commentary on marriage with hubby trekking off at a moments notice with darling wife holding the bag with the kids and NO CAR!
59;for this light I thank the producers.
60;I found the whole story of Sylvia Plath so interesting and sad too, that after watching it I then read a biography of her life, and then the biography of her husbands mistress.
61;i highly recommend this movie.
62;"Thrusted together by thier love of poetry, and cut down by the real world of ""Hey you 2 are married
I:315;63;This finally pushes Sylvia over the edge, and she commits suicide on Feb. 11, 1963.
I:315;64;I know that's how it was with my late wife I did, or so I thought everything I knew how to to keep my wife happy, but in the end it still wasn't enough.
I:315;65;I feel that it was a tragic story to portray, and Paltrow did a very good job.
I:315;66;For starters, I'm a pretty big Plath.
I:315;67;something I absolutely loved about this movie were little references to Plath.
I:315;68;there were also camera shots here and there that I really liked.
I:315;69;in general, I was pleased with Sylvia.
I:315;70;If you know a lot about Plath, you'll probably be very happy with it.
I:315;71;a lot of creative people do not want you to see their work as they do not consider it good enough and many of them lead troubled lives
I:315;72;As someone who writes herself, I have long admired the mesmerizing, exposed, raw depth that is Sylvia's talent.
I:315;73;Sylvia's poems (and life), move the on looker deep inside of her core in such a way that no other can do.
I:315;74;Her best poems written at her deepest point.
I:315;75;There is a creative story to be told her then, as well.
I:315;76;Her poems growth, tell multiple stories in themselves.
I:315;77;Any movie that has such an ending, would touch the viewer.
I:315;78;But at least in SYLVIA we have a beautifully and lovingly rendered version of what happens in the poet's mind as directed by Christine Jeffs.
I:315;79;Her mother in the film is played to perfection by Blythe Danner, Paltrow's real life mother.
I:315;80;Ted Hughes is portrayed by Daniel Craig who manages to maintain our empathy despite the acts that on screen are seen as contributory to Plath's demise.
I:315;81;the cinematography is wondrous, illuminating not only the exteriors of London and Devon, England, but also exploring the interiors of the dark places Sylvia and Ted had lived.
I:315;82;These dark places are wonderful metaphors for the spaces within the mind that comes unwound.
I:315;83;But for the present SYLVIA is a tribute, fair and dark and gentle, of a fine American poet.
I:315;84;For starters, the viewer often knows the story line.
I:315;85;Anyone who knows the name Sylvia Plath is aware that she committed suicide so there are few surprises for the audience.
I:315;86;Much of the credit for this film's success must go to Gwyneth Paltrow who is quite mesmerizing as the tragic poet.
I:315;87;One of the best films of 2004, SYLVIA is not to be missed.
I:315;88;Perhaps we may find the clues to intend to comprehend and even approximate us to the horrid existence of a generous, sensitive and sensible personality of this brilliant poetry, whom love definitively did not take into account.
I:315;89;Maybe such prodigious talent must pay a prize: to shine and illuminate other touching sensibilities gratifying excessively what that soul lacked: affection and love.
I:315;90;gwyneth Paltrow made a very exquisite performance around this demanding role"
91;Sylvia is a movie about the last 1/3 or so, of iconic American poet Sylvia Plath's life.
92;Gwyneth Paltrow does a fantastic job of portraying the volatile emotions of Sylvia Plath.
93;On the other hand, she is extremely jealous and has outbursts when she feels unloved or disrespected by Ted.
94;There is fantastic acting and quite a bit of depth to each of the characters.
95;I personally would have liked to see a more well.
96;rounded portrayal of Sylvia and ALL of her relationships during this time, including her strenous relationship with her mother, and her near affair with publisher Alvarez.
97;"I full heartedly agree with Frieda, ""Her own words describe her best."""
98;Director Christine Jeffs manages to strike an evenhanded tone in her biopic Sylvia, which deals with the last few years in the life of poet Sylvia Plath.
99;Plath dresses in warm colors up until her wedding, after which her clothes and the ambient colors become darker and darker.
100;All the biographies I have read on Sylvia Plath discuss the joy she found in motherhood.
101;Her exhaustion caring for two small children, taking care of her home and writing is evident throughout the movie, as it was in real life.
102;The contrasts between happiness and deep sorrow, energy and listlessness, struggle for control over her demons and loss of control are strangely absent.
103;gwyneth Paltrow does a wonderful job, as always, given the material she had to work with.
104;Her performance is sensitive and intense.
105;The few times she recites poetry, including a wonderful scene where she does a small bit from Chaucer's Wife of Bath in Middle English, are extraordinary.
106;Daniel Craig as Ted Hughes is excellent, capturing the magnetic charisma of the poet, his bewilderment as his relationship falls apart, and his careless indifference toward Sylvia's suffering and his children's vulnerability.
107;Blythe Danner, Paltrow's mother in real life, is excellent in the role of Plath's mother and Michael Gambon does an extraordinary job as the sympathetic downstairs neighbor.
108;i have been a big fan of Sylvia Plath's poetry for many years and have read some excellent biographies on the poet as well as work by Ted Hughes.
109;There is a tremendous lack of scope here.
110;As stated above, the acting is fine and the photography appropriately moody.
111;if you like a good tear jerker,this movie is for you, its well.
112;this film is very underrated.
113;Making a movie about Sylvia Plath is an incredible opportunity to tell a story about a woman who was quite talented and interesting,yes?
114;to make this film a great big story of her life.
115;It is artistically done and beautifully shot and sometimes takes your breath away, but is about all good I can say.
116;because we don't really see the romance bloom, (as if the film makers expected the viewer to understand and know the backstory of Ted and Sylvia) we dont feel as much passion and love for the two of them together as we should.
117;There have always been the pro.
118;the film evolves or devolves brilliantly: from the sun filled and idealist Sylvia, to the love.
119;The characters are beautifully portrayed without bias, and paves the road for one of Gwyneth Platrow's best performances in her career: almost embodying Plath's descent into despair.
120;There are moments in 'Sylvia' .
121;dimensional portayal of Hughes, and the cinematographer appropriately paints the tones from warm and sunny, to cold and monotonous with her eventual suicide.
122;Poetry is particularly prone to this myth.
123;All that aside, this is definitely a worthwhile film for anyone interested in the life of a real poet.
124;"I do not know too much about the life of Plath, but since her journals were posthumously published, and she is the author of ""The Bell Jar"", ""Ariel"" and won the Pulitzer Prize (also posthumously) for her collected poetry, surely she was a strong enough personality to actually be the subject of a movie which is supposedly about her."
125;"Sylvia Plath was fairly depressive in her own life, and ""Sylvia"" gets this right."
126;She is still overshadowed by her more successful husband.
127;Gwyneth Paltrow does an excellent job in portraying Sylvia Plath and she even looks remarkably like the pictures I have seen of Sylvia Plath.
128;Daniel Craig does a fine job of Ted Hughes, though I have no sense of comparison.
129;Their passionate marriage deteriorates when Hughes cheats on Sylvia and she discovers it, moving with her two children to London.
130;She is especially effective in the second part of the film, when Sylvia separates from Ted Hughes and plunges into a deep depression.
131;Gwyneth Paltrow gives a very strong, brave performance.
132;The cinematography for this movie is breathtakingly beautiful, one of the best of the year.
133;It perpetuates the myth that Sylvia Plath is a martyr to suicide, that it is somehow noble that she abandones her two young children and her career.
134;In the film, as Sylvia looks into the oven, a heavenly golden light shines upon her.
135;see this movie for the cinematography and for Gwyneth Paltrow's great performance.
136;One day there will be a great movie made about the life of Sylvia Plath.
137;This one manages to be little more than the CliffsNotes version.
138;A great example of a writer's stress with writing and her personal life.
139;on that note, the cinematography and art direction was absolutely gorgeous.
140;The coloring and framing of each shot was well thought out and obviously very intentional.
141;i found myself pulled into the imagery from the beginning .
142;"like the energy of the wind pushing their leaves into dancing or the movement of the row boat upon the ocean when she was ""unable to write""."
143;The truth comes to me.
