id;spiegazione
1;I consider this movie to be the best of the Hitchcock masterpieces.
2;It's almost as difficult as choosing my favorite Miles Davis song, but this movie is very well done.
3;The acting is head and shoulders above other suspenseful flicks of that age, and to tell you the truth, I LONG for these type movies these days.
4;This movie makes me VERY aware of the cinematic cues, from lighters to shoes to glasses in the grass, it ALL comes together to form a timeless piece of cinema excellence!
5;but there is so much visually and psychologically to like about this film.
6;The three best visuals for me .
7;for their composition and style .
8;there is a tree beside the curb.
9;the tree and the street and the building are wonderfully haunting in the position of the camera and the light and shadow effect.
10;this is the time in the film when the actor Farley Granger's face is at its maximum of good looks.
11;the effect of light and shadow on his attractive face is very pleasing.
12;the silent, enigmatic great Dane dog waiting at the top of the stairs.
13;since I am a strong fan of the visual beauty and style (if not the themes) of the film version of The Talented Mr. Ripley , it is instructive to watch that film and this one in sequence.
14;but the visual similarities and executions in the two films are extremely interesting to study as well.
15;Strangers on a Train is a film I can watch over and over again.
16;and the music with its jazzy hint of mockery at the implied gay character.
17;all in all, this is an excellent film for repeated viewing, close scrutiny, and multiple enjoyment.
18;[This shows popular entertainment before television.]
19;And Bruno carries out his self.
20;There is humor in the Senator's remarks.
21;There is a funny scene at the tennis club where people's heads move mechanically, except for one man.
22;The watching detectives also see that something funny is going on.
23;There is a surprise here!
24;Ann visits Bruno's mother, but little is accomplished.
25;There is a dramatic finish to the ride, and the truth is discovered at last when it slips from Bruno's hand.You can pick out some faults in this story, but it seems quite good with its mixture of drama, suspense, and humor.
26;Murder by organized crime is seldom solved by the police said Perry Mason.
27;Psycho definitely has its merits, and is one of the greatest films of all.
28;time, but Strangers on a Train, in my opinion, is a much more complete, meaningful film than Psycho was.
29;strangers on a Train has some of the most memorable scenes in the history of cinema.
30;While there are many things that one can think about Bruno's bizarre obsession with Guy, I prefer to view the film just for the classic thrilller that it is.
31;Maybe in future viewings I will analyze the characters' actions in the film on a much deeper level, but I think that it is important that the film is such a great thriller, but also with much deeper meanings that can be explored if the viewer desires to do so.
32;On the other hand, well.
33;done remakes are so rare in Hollywood, that you can count them on one hand.
34;Overall, I think this is one of those films that is simply timeless.
35;Fifty years after it was made, it still works as a film, and it isn't very often that you find a film like this that can stand the test of time in literally every facet of what makes a good film.
