id;spiegazione
1;It's the kind of movie I wonder how it even got past the script stage.
2;What I love about that film is that it's deep and full of substance, and just plain beautiful.
3;Nothing about this movie attracts me to it.
4;"After praising ""Metropolis"" as ""one of the most visually beautiful movies ever made in the entire history of cinema."
5;"Much more impressive than Fritz Lang's ""Metropolis"" which is the mother of all sci."
6;"fi eyeball dazzling visual extravaganzas"" ."
7;"First off so many films have come along since that are much more impressive and secondly, while comparing this ""Metropolis"" to Fritz Lang's is unavoidable and not entirely without merit, it's still wrongheaded to imply the cartoon is simply superior."
8;Wrong because it isn't superior and because the animation style of a 21st century cartoon and the visual effects of a sci.
9;"an inspiration for central plot elements maybe more than visual style, but also ""Blade Runner"" and ""Akira""."
10;a new classic on your hands.
11;Is it a soul, or the warmth of blood flowing inside us?
12;Director Rintaro's Metropolis examines this question throughout the film, and makes it the central theme of the film, from beginning to end.
13;the cast of Metropolis is filled with imaginitive, diverse characters.
14;There are both humans and machines in the story, ranging from the robot.
15;destroying Rock, to the cute, helping robot Fifi.
16;metropolis is a very complex piece of art, and it shows it.
17;The story of Metropolis is also filled with references to various ancient stories, most notably the Tower of Babel.
18;metropolis has majestic, elegant animation.
19;This is the first review I have written where I have mentioned the sheer beauty of the animation, and deservingly so.
20;The animation is a mixture of both CGI and traditional cel animation, so it just pops off the screen, capturing our attention and imagination both at once.
21;in all, Metropolis is wonderful anime, and is one that I like to call a piece of art.
22;For this feat, I commend Rintaro and the staff on the film.
23;The animation is good, in a unique way, some of the dudes from Akira and ancestors of Astro Boy, those are classics, well it was something like that!
24;I love the old school animation to it and the story line.
25;I'm a huge fan of the art style used in this film, so I really enjoyed the viewing experience.
26;top as other anime flicks, but it is visually a fun experience and has rightfully earned it's place on my collection shelf.
27;What an anime needs to be an animation with a story that includes characters and stories with depth.
28;That's what seperates it from cartoons.
29;Note that I say characters.
30;And we all know the Technology Vs. Humanity questions that arise, but this is still one great movie.
31;In some places it's downright amazing.
32;The Dub is fairly well done too, for those of you who don't like to read subtitles.
33;I must say that I was quite surprised at how this movie turned out to be.
