1;This was a solid movie, but way too long.
2;The IMAX shots are breath taking.
3;One of the biggest perks here .
4;a great movie, great BD transfer, well worth every penny.
5;When a comic book action movie gets tipsy between the fortunes of good and evil, and one forgets the good guys are supposed to prevail, then you have a real comic adventure.
6;For these reasons, `The Dark Knight' is destined to become (along with `Spiderman 2') one of the greatest comic adventures ever made.
7;excellent performances, an intelligent script, and tension to match the riveting action, render `Batman Begins,' the acclaimed start.
8;be client of millionaire Bruce Wayne has them tracing it to an accountant from Hong Kong.
9;Madness is like gravity, he chortles.
10;A hero with a face (at least for now) Harvey Dent (Aaron Eckhart) is Gotham's District Attorney, a stalwart force to bring criminals to justice, jeopardizing his own life for the city's welfare.
11;At Dent's side is fellow attorney and love interest, Rachel (Maggie Gyllenhaal), one with a keen sense of every situation and a steely resolve.
12;heath Ledger is simply masterful.
13;Nicholson gave us great entertainment, giving us both the Joker's malice and laughter.
14;His romp was admirable, but I have to give Ledger the edge.
15;His laughter and jokes only send chills up one's spine.
16;Indicative of his talent, it's at those knifepoint moments when the Joker shares three separate stories about his indelible smile that Ledger's magic works the best.
17;christian Bale is slightly eclipsed, but he still brings a quiet, brooding appearance as he did previously.
18;faceted actor, he does good and evil with tremendous skill.
19;Gyllenhaal, who's had her fine moments, really delivers a truly round and believable Rachel as if someone forgot to tell her the movie had comic strip origins.
20;Michael Caine is a perfect Alfred, and Morgan Freeman plays Lucius Fox, the second Alfred of Wayne enterprises without seeming extraneous.
21;If they tightened up and hadn't gotten so ponderously philosophical near the end, they could have made a perfect film.
22;(Although I'm from nearby Chicago, they transform the Windy City nicely enough to make us forget where the mayhem is actually transpiring.)
23;I dont have to tell you how great this movie is, but it arrived on time and i was satisfied
24;Without a doubt, this was the best of the Batman Trilogy movies.
25;The only similarity to the Batman movies of a couple of decades ago is that the Joker, played by the late Heath Ledger, still steals the show (there is a reason he was awarded a posthumous Oscar!)
26;ray disc is amazing, although there are numerous dark scenes (the actual footage, not just the theme of the movie).
27;The better your television, the more you will enjoy the film.
28;This is one for the ages.
29;It may have been Ledgers last role but boy it was a great one.
30;I went to see this movie expecting something that was dark and entertaining.
31;I love a good psychopathic character.
32;But that is what makes the character very amusing.
33;i recommend this movie to anyone who loves the Joker or is a fan of Batman.
34;The acting, special effects, and entertainment are great.
35;So if you are looking for a great action movie, then this is the one to pick.
36;great movie, great shipping speed.
37;Movie was excellent, i actually saw this 4 times in theaters lol.
38;But other than that, i consider this one of the best batman movies ever made.
39;I think that this movie had some great points.
40;That this world is corrupted you cant trust anyone most of the time.
41;Heath played an amazing Joker.
42;I bought this just to add to my personal movie collection.
43;Great price but digital copy didn't work.
44;"I had no desire to watch a Batman film, because I have never been a ""comic geek,"" and my favorite movies are realistic ones, such as the Bourne series."
45;"What I did not realize was that Batman is no ""superhero"" like Spiderman (which I don't care for), but just a man trying to make a change in his world, and that The Dark Knight was one of the most realistic movies I would ever lay eyes on.You might think, ""Well of course you loved it."
46;But, unlike many of my peers, I was also able to catch, and appreciate (if not the very first time I watched it) the extremely powerful moral themes woven into the engaging storyline.
47;the Dark Knight has managed to do something simply incredible.
48;It first took on the (not necessary, but profitable) task of reinventing the Batman story, which had been turned into nothing short of a joke in previous films (filled with excessively cheesy content and flamboyant, fruity characters) and putting a majorly serious, mature spin on it.
49;While doing this, it took the opportunity to use this particular basis (Batman, as opposed to any other fictional character) to present the insightful viewer with an intricate look at the ideas of good vs. evil.
50;"The theme of good vs. evil is literally the oldest in the book (especially if ""the book"" is ""The Bible"") but so many films, books, games, etc. have taken it to be ""kill all the bad guys and good wins, and of course good will always triumph."""
51;Well that is just about the opposite of how real life works.
52;"Things done in the name of ""good"" can easily be seen as horrifying even by those on the side of ""good."""
53;what's more, on top of reinventing Batman and portraying the timeless clash of ideals, The Dark Knight presents character development like none other, which is credit to the excellent acting of its stars.
54;I realize that each person has their own preferred style, but the Dark Knight really resonated with me.
55;"The shots employed, the dark gritty style, the subtle but powerful musical score, the sleek and modern settings (such as Bruce Wayne's desirable penthouse and underground ""batcave""), and the lighting all contribute to an extremely intense, glorious picture."
56;one last notable detail is that The Dark Knight has managed to be phenomenal AND wildly successful AND critically acclaimed, all without employing sex or profanity.
57;strings sex, which explains the success of this formula.
58;Watch it if you prefer deep, contemplative films to action flicks.
59;Watch it if you prefer action flicks to deep, contemplative films.
60;Watch it if you appreciate good film.
61;Watch it if you appreciate good acting.
62;"It is well on the way to being a cultural phenomenon, and while films like Avatar have surpassed it in ticket sales, no film in my recent recollection does a better job of personifying the true, scarred face of ""striving for justice."""
63;I never knew I could love a superhero movie so much.
64;What made this film great was its action, story, and great characters with came together to form a near.
65;mUSIC: The music is fantastic and goes great with the already near.
66;Heath Ledger really does a great job at portraying Joker as a complete psychopath who you'd be terrified to come across.
67;This is one of the best action films I've seen in quite some time.
68;eNTERTAINMENT: This film has a lot of unexpected scenes, even things occurred that I would have never been able to predict.
69;This film is a roller coaster ride of plot twists, adrenaline.
70;rushing action scenes, and it's even suspenseful, all the way to the bizarre ending.
71;This is without a doubt one of the best films I've seen in quite some time, and is a definite must.
72;see for any movie buffs.
73;tHE GOOD: Great story, great actors, great action, surprisingly disturbing, little focus on relationship problems, and it's an overall kickass movie.
74;If you play it on Surround Sound, it will be really, really, really good.
75;The Chase Scene on the BD Format is very nice.
76;the BD also includes a Digital Copy, so not only will you have 2 BDs, but you'll have one on your computer.
77;i highly recommend this to anybody looking for a great high.
78;The older Batman films were full of action but still were entertaining and were loved by many.
79;The comic books I read when I was a kid were exciting, but not evil and dark.
80;Amazon did have a great price on this so at least we did not thankfully spend much.
81;I love Christian Bale, and he is great as the Dark Knight.
82;"(um, hot hot hot) This movie is awesome, special effects and cinematography are amazing, acting is top notch, it is one of the greatest in the ""Batman"" franchise and that's all that really needs to be said."
83;This movie starts right up and is very entertaining for a hour and a half.
84;While there are weird flaws in this film, it is still the best comic book adaptation to date.
85;There is all the action and great dialogue you could want.
86;It's new and it works perfectly.
87;The 1st disc, the feature, is great.
88;It is some of Christopher Nolan's finest work and features excellent acting.
89;I have never seen a more believable joker, and as a Batman fangirl, I can tell you that this is the best Batman movie I have ever seen.
90;Heath Ledger does an eerily wonderful job playing The Joker, and the story is portrayed meticulously.
91;packed superhero thriller with an intricate plot and fast.
92;paced scenes, Batman is right on the money.
93;Heath Ledger is absolutely brilliant as The Joker, he is muchly missed but he's not the one who steals this movie, Aaron Eckhart is a pleasant surprise!
94;Long have we waited for a Batman movie this good.
95;It seems that the perfect Batman movie .
96;that which gets the legend right, does it intelligently and is still a complete thrill ride .
97;Yeah, that movie was good.
98;"And then there was ""Batman Returns"" and if you like your Batman dark, well, this was a cup of black coffee."
99;"When Christoper Nolan brought Batman back to the big screen in 2005 with the critically acclaimed (hey, Ebert liked it) ""Batman Begins,"" it was a breath of fresh air."
100;notch supporting cast, we were finally given a Batman film with class.
101;Enter 2008 and here we are with what is easily the most hyped movie of the year, and surely, the best action/adventure/comic.
102;and with so many great actors at hand, it's amazing how he just steals each and every scene he is a part of.
103;Eckhart handles the neccessary duality of the character with ease and keeps you sympathetic to his cause even through the final scenes.
104;Ledger gives the performance it's all, and it shows.
105;He is mesmerizing in each scene and steals the show, whether he was trying to or not.
106;as a director returning to the franchise, Christopher Nolan seems just as confident and consistent as he did with the first film.
107;"The Dark Knight keeps in tone and consistency with ""Begins"" and the anticipation we felt at the end of that film is delivered upon ten."
108;The action scenes themselves are a blast, and quite the step.
109;As mature as this film may be, there are definitely some jollies to be derived from seeing The Joker handle a bazooka inside a moving vehicle.
110;Nolan handles the action sequences with ease, and they are just as memorable as the characters themselves.
111;There are plenty of reviews that go into it, and as someone who purposely avoided any details of this film's plot as possible prior to it's release, I found that not having too much previous knowledge made it a much more enjoyable movie.
112;To say the least, this is the definitive Batman film.
113;but the film is so good, I kept hoping against hope that it wouldn't end.
