id;spiegazione
1;major stars and production values in an adult story set in tumultuous times.
2;And, one man's struggle to come to terms with his course in life, his beliefs, his awakening to the nature of power, war, and a developing love for his woman, and their future.
3;And it is about lots more .
4;all worth the telling and the filming.
5;The Special Features are most excellent in the material that goes over the history of the characters times and the filming of the movie.
6;this is a film you will watch more than once.
7;This was an epic movie.
8;Filled with a lot of action towards the end with twists along the way.
9;It keeps you entertained and interested I loved it.
10;One can't help but come away a bit contemplative about what the world would be like if extremists in all religions adopted a more reasonable tone of coexistence.
11;This video set was one our son wanted.
12;After seeing this full release the movie makes much more sense and flows from scene to scene with purpose and direction.
13;If you like the original release I recommend you seeing this.
14;If you are a viewer who has patience and maturity to appreciate a director's cut like this, this will be one of your all time favorites.
15;It goes into tremendous detail and, to be honest, it does embellish a bit excessively.
16;However to compare it to the original release, which i have now given away, it is far superior and to any fan of the theatrical version it is a MUST see and MUST own.
17;It is a true classic.
18;A must have for a true cinematic fan.
19;This movie was good as the theatrical cut, but even better as the director's edition!
20;I have loved all of Ridley Scott's films.
21;He has always had a knack for putting together gripping action films with a good story.
22;he set out to tell a grand story about a turbulent time in history (The Crusades) and he accomplished it.
23;He lacks screen presence, in my opinion, to pull off a lead role in a epic film.
24;This will give you the film Ridley Scott intended.
25;Kingdom of Heaven is certainly the most underrated film I've seen in a very long time.
26;It's so poignant for know as far as the religious fanaticism on both sides.
27;ridley Scott is a genius film maker.
28;Instead, he gives us only what we think we want and then shows us more, like all smart directors.
29;he's got an exceptional script to work with, although it's not without it's flaws.
30;The most notable is the relationship between Balian and Sybylla.
31;He's still, at that point, afraid of that measure of responsibility.
32;Jeremy Irons was the treat I was looking forward to.
33;A gruff voice with a realistic approach, he played him as a man frustrated at his position.
34;He loved and respected his king and knew that when he died, so did Jerusalem.
35;David Thewlis, in another wonderful character role, has the best speech in the film.
36;A wise voice when Balian needs it.
37;the filmmaking is also flawless.
38;There are shots in this movie I've always wanted to see, the best one being at the start of the battle of Jerusalem when the trebuchets start releasing their balistas.
39;You see them off in the horizon and you really feel their coming toward you.
40;There are fanatics on either side that push both sides in the wrong direction.
41;This film brilliantly shows that.
42;This movie, despite what some say, is historically accurate.
43;The action is intense and Orlando does a great job in his traditional .
44;The animation/CG is excellent and the acting is overall very good.
45;Good musical score as well, but the story does tend to lag a little in parts.
46;if you liked Gladiator and Lord of the Rings, mixed with a little bit of history, you'll love this one.
47;"Yes, it was ""dramatized"", yes, much ""license"" was taken with the characters responses to events, nobody Christian, Muslim, or Jew was ever that benevolent, thoughtful, or altruistic."
48;But Baldwin and Saladin did exist and the peace they held in Jerusalem was real.
49;This is one of Ridley Scott's best films, and one of my all.
50;The photography in this film is just gorgeous, the score is one you'll hear in your head for days, and the story really takes you in.
51;It ranks with some of the finest music ever written for the screen.
52;Eva Green is the mesmerizing Christian Queen of Jerusalem.
53;Together with the brilliant cinematography, the film is a visual treat for the senses whatever one may think of the story.
54;I am extremely confident that it will be at least 10 times better than the origianl version (and it wasnt that bad).
55;It is long, but it gives you the rest of the story that you left the box office wanting.
56;hand action rather than siege combat, but this was a fine Crusade.
57;I have seen both versions of this film several times, and I will say that the Director's Cut is far superior to the Theatrical Cut.
58;christian: as far as Hollywood is capable, I felt that this was fair to both sides of the debate, without offering what I might consider serious revisionist problems.
59;It correctly established that Jerusalem was brutalized by both sides, Christians when they first re.
60;"For a complete discussion of the differences between the film and history, you would need to consult a website or book on the subject
61;crafted, the cinematography is hauntingly beautiful, and the plot well.
62;I feel that this film will provide one with a new take on the Middle East and the fluid, often subtle struggles that occur between the three religions in Jerusalem.
63;This film also encouraged a resurge of my interest in the Crusades, which is a worthy result of such a well.
64;if you choose to see this film, this is the version you should see.
65;i saw the movie and like it so much that I bought in 2005 the sound track!
66;Was great had a lot of bonus material.
67;Defiantly worth getting if you enjoyed the movie in theaters.
68;One could review Kingdom of Heaven on a lot of levels .
69;as an action packed medieval adventure/romance .
70;and was pleasantly surprised to find a reasonable amount of the third.
71;My favorite quote from the movie summed up a powerful feeling I've had about spirituality for some time now:""""God will understand, my lord."""
72;it's a classy widescreen handling of a film that's visually rich and deserves to be seen in it's cinematic format.
73;With gorgeous scenery and delightful characters and costuming, I can't imagine watching such a visually appealing film in less than wide screen form.
74;Simply put this film is one of the best.
75;The acting, the filming, the music is incredible.
76;It was the perfect gift for my grandson who is interested in the Knights Templar.
77;There are wonderful plot elements and sub.
78;plots that didn't make it to the theaters that make this a much more rich experience.
79;It even converted a friend that didn't like it originally but love the director's cut.
80;I truly enjoyed watching this movie and was inspired to read more about the history of the crusades.
81;"if you are inspired to learn more about the crusades and read about the characters in the movie, I recommend the book ""Warriors of God"" from James Reston Jr. enjoy and have fun!!!"
82;The director took a film that was good/ok theatrically and made it into one of my favorite films.
